무인교통단속카메라관리번호,시도명,시군명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자
H4874,경기도,가평군,시도,,잠곡로,2,,경기도 가평군 청평면 청평리 406-18,37.73704913,127.4216785,청평초교 어린이보호구역(청평4리마을회관→청평파출소),2,30,2,2020,경기도북부경찰청,031-961-2651,2025-03-28
J4072,경기도,가평군,일반국도,37,신선봉로,1,,경기도 가평군 설악면 신천리 570-8,37.67801857,127.485634,신천교차로(설악IC교차로→설악체육공원),2,50,99,2023,경기도북부경찰청,031-961-2651,2025-03-28
J4074,경기도,가평군,일반국도,46,경춘로,1,경기도 가평군 청평면 경춘로 336,경기도 가평군 청평면 대성리 307-1,37.7035289,127.3892952,대성교차로 지나 900m(서울→춘천),1,70,99,2023,경기도북부경찰청,031-961-2651,2025-03-28
J4075,경기도,가평군,일반국도,37,조종로,1,,경기도 가평군 상면 덕현리 494-46,37.76434345,127.3924372,덕현교차로(청평→포천),2,70,99,2023,경기도북부경찰청,031-961-2651,2025-03-28
J6003,경기도,가평군,시도,,양방가루재길,3,,경기도 가평군 설악면 방일리 48-2,37.62935925,127.4983331,방일초교 어린이보호구역(양방교→방일1리마을회관),1,30,2,2022,경기도북부경찰청,031-961-2651,2025-03-28
J6004,경기도,가평군,시도,,양방가루재길,3,,경기도 가평군 설악면 방일리 34,37.62910312,127.4981893,방일초교 건너편 어린이보호구역(방일1리마을회관→양방교),1,30,2,2022,경기도북부경찰청,031-961-2651,2025-03-28
J6005,경기도,가평군,시도,,구청평로,3,경기도 가평군 청평면 구청평로 55,경기도 가평군 청평면 청평리 626-21,37.73256948,127.4161194,통큰에듀파크어린이집 건너편 어린이보호구역(청평교→청평대교),1,30,2,2022,경기도북부경찰청,031-961-2651,2025-03-28
J6006,경기도,가평군,시도,,구청평로,3,,경기도 가평군 청평면 청평리 626-65,37.73272155,127.4135578,통큰에듀파크어린이집 어린이보호구역(청평대교→청평교),1,30,2,2022,경기도북부경찰청,031-961-2651,2025-03-28
J6007,경기도,가평군,시도,,청평중앙로72번길,1,경기도 가평군 청평면 청평중앙로72번길 21-1,경기도 가평군 청평면 청평리 357-9,37.8116883,127.0970221,청평초교 건너편 어린이보호구역(청평역→청평윗삼거리),1,30,2,2022,경기도북부경찰청,031-961-2651,2025-03-28
J6008,경기도,가평군,시도,,청군로,3,,경기도 가평군 상면 항사리 225-4,37.7965446,127.3653453,보람어린이집 어린이보호구역(현리→청평),1,30,2,2022,경기도북부경찰청,031-961-2651,2025-03-28
J6009,경기도,가평군,시도,,청군로,3,,경기도 가평군 상면 항사리 219-1,37.79678247,127.3653961,보람어린이집 건너편 어린이보호구역(청평→현리),1,30,2,2022,경기도북부경찰청,031-961-2651,2025-03-28
J6010,경기도,가평군,시도,,조종새싹로,3,경기도 가평군 조종면 조종새싹로 13-9,경기도 가평군 조종면 현리 286,37.82175298,127.3495901,조종초교 어린이보호구역(임성아파트→조종면행정복지센터),1,30,2,2022,경기도북부경찰청,031-961-2651,2025-03-28
J6011,경기도,가평군,시도,,조종새싹로,3,,경기도 가평군 조종면 현리 283-3,37.82107098,127.3494807,조종초교 건너편 어린이보호구역(조종파출소→현7리마을회관),1,30,2,2022,경기도북부경찰청,031-961-2651,2025-03-28
J3038,경기도,가평군,지방도,86,한서로,3,,경기도 가평군 설악면 위곡리 산128-4,37.66233243,127.5428231,한글과컴퓨터 건너편(홍천→설악IC),1,50,99,2021,경기도북부경찰청,031-961-2651,2025-03-28
J3040,경기도,가평군,일반국도,3,가화로,3,경기도 가평군 북면 가화로 2675,경기도 가평군 북면 적목리 146,37.97043255,127.4553997,목동초교 명지분교 건너편 어린이보호구역(화천→가평),1,30,99,2022,경기도북부경찰청,031-961-2651,2025-03-28
J3041,경기도,가평군,시도,,향교로,3,,경기도 가평군 가평읍 읍내리 541-4,37.82969754,127.508968,가평교육지원청 가평초교 어린이보호구역(가평군청→가평중학교),1,30,99,2022,경기도북부경찰청,031-961-2651,2025-03-28
J3043,경기도,가평군,일반국도,400,가화로,3,경기도 가평군 가평읍 가화로 161,경기도 가평군 가평읍 읍내리 625-8,37.83356837,127.5148259,가평어린이집 어린이보호구역(가평군법원→가평터미널),1,30,99,2022,경기도북부경찰청,031-961-2651,2025-03-28
J3044,경기도,가평군,일반국도,400,가화로,3,경기도 가평군 가평읍 가화로 162,경기도 가평군 가평읍 읍내리 626-1,37.83405057,127.5113611,가평어린이집 건너편 어린이보호구역(가평터미널→가평군법원),1,30,99,2022,경기도북부경찰청,031-961-2651,2025-03-28
J3045,경기도,가평군,일반국도,400,가화로,3,,경기도 가평군 가평읍 마장리 347-8,37.85839246,127.5158352,마장초교 어린이보호구역(목동버스터미널→가평군청),1,30,99,2022,경기도북부경찰청,031-961-2651,2025-03-28
J3047,경기도,가평군,일반국도,3,경춘로,1,,경기도 가평군 청평면 대성리 399-7,37.68189952,127.3778487,대성초교 어린이보호구역(춘천→서울),2,50,99,2022,경기도북부경찰청,031-961-2651,2025-03-28
J3048,경기도,가평군,일반국도,100,경춘로,2,,경기도 가평군 청평면 대성리 398-1,37.68224062,127.378221,대성초교 건너편 어린이보호구역(서울→춘천),2,50,99,2022,경기도북부경찰청,031-961-2651,2025-03-28
H4723,경기도,가평군,시도,,청군로,3,경기도 가평군 상면 청군로 2090,경기도 가평군 상면 율길리 454-1,37.83810135,127.2880764,율길초교 어린이보호구역(율길삼거리→서파육교),1,30,2,2021,경기도북부경찰청,031-961-2651,2025-03-28
H4724,경기도,가평군,시도,,청군로,3,,경기도 가평군 상면 임초리 413-3,37.77495514,127.3710115,상면초교 어린이보호구역(상면교차로→개누리고개),1,30,2,2021,경기도북부경찰청,031-961-2651,2025-03-28
H4726,경기도,가평군,시도,,미사리로,3,경기도 가평군 설악면 미사리로 588,경기도 가평군 설악면 미사리 290-3,37.70356016,127.5393377,미원초교장락분교 어린이보호구역(청심평화월드센터→미사리마을회관),1,30,2,2021,경기도북부경찰청,031-961-2651,2025-03-28
H4727,경기도,가평군,시도,,미사리로,3,,경기도 가평군 설악면 미사리 290-12,37.70358598,127.5396633,미원초교장락분교 건너편 어린이보호구역(미사리마을회관→청심평화월드센터),1,30,2,2021,경기도북부경찰청,031-961-2651,2025-03-28
H4728,경기도,가평군,시도,,신천중앙로120번길,3,,경기도 가평군 설악면 신천리 486,37.67890262,127.4911861,미원초교 어린이보호구역(설악고교→설악파출소),1,30,2,2021,경기도북부경찰청,031-961-2651,2025-03-28
H4729,경기도,가평군,시도,,신천중앙로120번길,2,경기도 가평군 설악면 신천중앙로120번길 20-9,경기도 가평군 설악면 신천리 495-1,37.6786581,127.4918609,미원초교 건너편 어린이보호구역(설악파출소→설악고교),1,30,2,2021,경기도북부경찰청,031-961-2651,2025-03-28
H4730,경기도,가평군,지방도,387,비룡로,2,경기도 가평군 상면 비룡로 2193,경기도 가평군 상면 연하리 445-1,37.80216943,127.3425175,연하초교 어린이보호구역(맹호아파트→태봉리마을회관),2,30,2,2021,경기도북부경찰청,031-961-2651,2025-03-28
H4731,경기도,가평군,지방도,387,비룡로,2,,경기도 가평군 상면 연하리 444-10,37.80199999,127.3431231,연하초교 건너편 어린이보호구역(태봉리마을회관→맹호아파트),2,30,2,2021,경기도북부경찰청,031-961-2651,2025-03-28
H4866,경기도,가평군,시도,,청군로,3,,경기도 가평군 상면 율길리 457-3,37.83871828,127.288017,율길초교 건너편 어린이보호구역(서파육교→율길삼거리),1,30,2,2021,경기도북부경찰청,031-961-2651,2025-03-28
H4868,경기도,가평군,시도,,석봉로191번길,1,경기도 가평군 가평읍 석봉로191번길 13,경기도 가평군 가평읍 읍내리 573-3,37.83183732,127.5082647,가평초교 어린이보호구역(가평초교→가평군청),1,30,2,2020,경기도북부경찰청,031-961-2651,2025-03-28
H4869,경기도,가평군,시도,,석봉로191번길,3,경기도 가평군 가평읍 석봉로191번길 10,경기도 가평군 가평읍 읍내리 608-5,37.83207601,127.5086101,가평초교 어린이보호구역(가평군청→가평초교),1,30,2,2020,경기도북부경찰청,031-961-2651,2025-03-28
H4871,경기도,가평군,시도,,가평제방길,2,,경기도 가평군 가평읍 읍내리 421-8,37.83107717,127.5165117,농협농용자재백화점(남이섬→마장리),1,30,99,2020,경기도북부경찰청,031-961-2651,2025-03-28
H4872,경기도,가평군,시도,,석봉로191번길,2,경기도 가평군 가평읍 연인2길 22-1,경기도 가평군 가평읍 읍내리 493-3,37.82979715,127.5109051,가평초교 건너편 어린이보호구역(가평역→가평군청),2,30,2,2020,경기도북부경찰청,031-961-2651,2025-03-28
H3619,경기도,가평군,일반국도,46,경춘로,2,경기도 가평군 청평면 경춘로 1449,경기도 가평군 청평면 상천리 236-2,37.77893767,127.4640679,초옥동마을입구교차로(가평→서울),2,60,99,2021,경기도북부경찰청,031-961-2651,2025-03-28
H4873,경기도,가평군,시도,,석봉로191번길,1,경기도 가평군 가평읍 석봉로 159,경기도 가평군 가평읍 읍내리 487-6,37.8293944,127.5109379,가평초교 어린이보호구역(가평군청→가평역),2,30,2,2020,경기도북부경찰청,031-961-2651,2025-03-28
H4875,경기도,가평군,시도,,청평역로,1,,경기도 가평군 청평면 청평리 193-11,37.73776552,127.4273487,청평4리 마을회관 앞 교차로(청평면사무소→청평역),2,30,99,2020,경기도북부경찰청,031-961-2651,2025-03-28
H4876,경기도,가평군,시도,,강변로,1,,경기도 가평군 청평면 청평리 738-5,37.73452177,127.4149798,청평시장 입구(청평역→청평교),2,30,99,2020,경기도북부경찰청,031-961-2651,2025-03-28
H4877,경기도,가평군,일반국도,75,가화로,1,,경기도 가평군 가평읍 읍내리 759-4,37.83902856,127.506701,계량교 지나 50m(마장리→대곡리),2,30,99,2020,경기도북부경찰청,031-961-2651,2025-03-28
H4878,경기도,가평군,일반국도,75,가화로,1,,경기도 가평군 가평읍 승안리 11-28,37.84071685,127.5064637,승안삼거리(대곡리→마장리),2,30,99,2020,경기도북부경찰청,031-961-2651,2025-03-28
H4879,경기도,가평군,시도,,중앙로,2,,경기도 가평군 가평읍 대곡리 233-5,37.8270122,127.5147748,가평중 지나 400m(가평종합운동장→가평천),2,30,99,2020,경기도북부경찰청,031-961-2651,2025-03-28
H5767,경기도,가평군,일반국도,75,가화로,2,,경기도 가평군 북면 이곡리 65-1,37.88031056,127.5464767,목동초교 어린이보호구역(가평군청→목동버스터미널),2,30,2,2021,경기도북부경찰청,031-961-2651,2025-03-28
H3602,경기도,가평군,일반국도,37,금강로,3,,경기도 가평군 상면 봉수리 185-3,37.86178278,127.2897147,봉수교차로 지나 500m(춘천→서울),1,70,99,2021,경기도북부경찰청,031-961-2651,2025-03-28
H5792,경기도,가평군,일반국도,75,가화로,3,,경기도 가평군 북면 이곡리 67-21,37.88014613,127.5461565,목동초교 건너편 어린이보호구역(목동버스터미널→가평군청),2,30,2,2021,경기도북부경찰청,031-961-2651,2025-03-28
H5794,경기도,가평군,지방도,86,한서로,2,,경기도 가평군 설악면 위곡리 795-3,37.66995744,127.5158922,미원초교 위곡분교 건너편 어린이보호구역(설악면→홍천),2,30,2,2021,경기도북부경찰청,031-961-2651,2025-03-28
H3601,경기도,가평군,일반국도,46,경춘로,2,,경기도 가평군 가평읍 대곡리 10-34,37.82349494,127.518485,가평2교 남단(춘천→서울),1,70,99,2021,경기도북부경찰청,031-961-2651,2025-03-28
H7738,경기도,가평군,일반국도,46,일현로,2,,경기도 가평군 가평읍 상색리 306-11,37.79656921,127.4801973,포회촌마을입구교차로(청평→가평군청),1,60,99,2022,경기도북부경찰청,031-961-2651,2025-03-28
H7741,경기도,가평군,일반국도,46,경춘로,2,,경기도 가평군 청평면 대성리 30-3,37.72455797,127.4085521,소돌마을앞교차로(남양주→청평),2,70,99,2022,경기도북부경찰청,031-961-2651,2025-03-28
J1472,경기도,가평군,일반국도,46,경춘로,1,경기도 가평군 청평면 경춘로 1454,경기도 가평군 청편면 상천리 256-5,37.7791038,127.464346,벚꽃길휴게소(서울→춘천),2,60,99,2021,경기도북부경찰청,031-961-2651,2025-03-28
J1473,경기도,가평군,일반국도,37,유명로,1,,경기도 가평군 설악면 신천리 671,37.67062752,127.4878283,설악IC교차로(명장삼거리→설악면행정복지센터),1,50,99,2021,경기도북부경찰청,031-961-2651,2025-03-28
F8094,경기도,가평군,일반국도,87,유명로,3,경기도 가평군 설악면 유명로 2182,경기도 가평군 설악면 회곡리 806,37.70165011,127.4569701,교원비젼센터 앞(설악→청평),1,50,99,2016,경기도북부경찰청,031-961-2651,2025-03-28
G8310,경기도,가평군,일반국도,46,경춘로,1,경기도 가평군 청평면 경춘로 546,경기도 가평군 청평면 대성리 98-32,37.71947647,127.4028965,신청평대교 앞 교차로(서울-&amp;gt;춘천),2,80,99,2020,경기도북부경찰청,031-961-2651,2025-03-28
F9915,경기도,가평군,일반국도,47,경춘로,2,,경기도 가평군 청평면 하천리 496-21,37.74711201,127.428673,청평검문소앞 교차로(대성리→가평군청),2,70,99,2017,경기도북부경찰청,031-961-2651,2025-03-28
J4073,경기도,가평군,일반국도,46,경춘로,1,,경기도 가평군 청평면 상천리 1780-6,37.76906531,127.4476979,수리재마을입구교차로(서울→춘천),2,70,99,2023,경기도북부경찰청,031-961-2651,2025-03-28
SP-6405,경기도,고양시,시도,,숲속마을로,3,경기도 고양시 일산동구 숲속마을로 14-16,경기도 고양시 일산동구 풍산동 1277,37.6677484,126.8019997,풍산동 1277 (풍동초교 앞),4,0,,2011,경기도 고양시,031-8075-2578,2024-06-10
F7558,경기도,고양시,지방도,2,고양대로,1,경기도 고양시 일산서구 고양대로 258,경기도 고양시 일산서구 대화동 2311-1,37.6688011,126.7398011,한국건설기술연구원 앞(종합운동장-&amp;gt;일산대교),1,60,99,2016,경기도북부경찰청,031-961-2651,2025-03-28
P-5J02,경기도,고양시,시도,,대덕산로,3,,경기도 고양시 덕양구 덕은동 455,37.5806835032,126.8680722366,덕은동 455,4,0,,2023,경기도 고양시,031-8075-2578,2024-06-10
P-5K15,경기도,고양시,시도,,봉산로,3,,경기도 고양시 덕양구 향동동 595-1번지 향동로 교차지점,37.60683452,126.8925468,향동동 595-1번지 향동로 교차지점,4,0,,2023,경기도 고양시,031-8075-2578,2024-06-10
P-7520,경기도,고양시,시도,,중앙로,3,경기도 고양시 일산서구 중앙로 1388,경기도 고양시 일산서구 주엽동 73,37.66834954,126.765681,주엽동 73 태영프라자 앞,4,0,,2006,경기도 고양시,031-8075-2578,2024-06-10
P-5411,경기도,고양시,시도,,호국로,3,경기도 고양시 덕양구 어울림로 33,경기도 고양시 덕양구 성사동 775,37.64905648,126.835368,덕양구 호국로 816 (덕양어울림누리 원당방향),4,0,,2009,경기도 고양시,031-8075-2578,2024-06-10
P-5906,경기도,고양시,시도,,푸른마을로,3,,경기도 고양시 덕양구 고양동 720,37.70978343,126.9041958,덕양구 푸른마을로 16 (동익미라벨 푸른마을2단지),4,0,,2009,경기도 고양시,031-8075-2578,2024-06-10
P-5E04,경기도,고양시,시도,,행주로,3,,경기도 고양시 덕양구 행주내동 127-13,37.6011325,126.8281006,덕양구 행주로 17번길 (국수집 앞),4,0,,2009,경기도 고양시,031-8075-2578,2024-06-10
P-6519,경기도,고양시,시도,,장백로,3,경기도 고양시 일산동구 장백로 10,경기도 고양시 일산동구 백석동 1301,37.64022347,126.7904006,백석동 1301-2(동문굿모닝1차) 동문굿모닝1차,4,0,,2009,경기도 고양시,031-8075-2578,2024-06-10
SP-5A12,경기도,고양시,시도,,통일로,3,,경기도 고양시 덕양구 관산동 179-5,37.6881163,126.8654713,"관산동 179-5 (관산시장 입구, 함지플라워 맞은편)",4,0,,2009,경기도 고양시,031-8075-2578,2024-06-10
P-5102,경기도,고양시,시도,,마상로,3,경기도 고양시 덕양구 마상로134번길 109,경기도 고양시 덕양구 주교동 609-10,37.65575198,126.8337819,덕양구 마상로 134번길 109(주교동) 리스안경마트 앞,4,0,,2010,경기도 고양시,031-8075-2578,2024-06-10
G1888,경기도,고양시,지방도,356,고양대로,3,,경기도 고양시 덕양구 원흥동 465-19,37.6453011,126.8642901,가시골입구 교차로(원당역-&amp;gt;원흥지하차도),2,60,99,2018,경기도북부경찰청,031-961-2651,2025-03-28
G2394,경기도,고양시,시도,,경의로,3,,경기도 고양시 일산동구 정발산동 1414,37.67654101,126.780998,밤가시5단지 삼거리 (일산역-&amp;gt;백마역),2,60,99,2017,경기도북부경찰청,031-961-2651,2025-03-28
J3004,경기도,고양시,시도,,충장로123번길,1,,경기도 고양시 덕양구 행신동 637-9,37.62420155,126.8320752,신능초교 후문 어린이보호구역(지도공원→행신초교),1,30,99,2021,경기도북부경찰청,031-961-2651,2025-03-28
J3008,경기도,고양시,시도,,화수로,1,경기도 고양시 덕양구 화수로 25,경기도 고양시 덕양구 화정동 860,37.6448059,126.8324015,화수초교 건너편 어린이보호구역(달빛공원→화수공원),2,30,99,2021,경기도북부경찰청,031-961-2651,2025-03-28
J3011,경기도,고양시,시도,,화중로151번길,2,경기도 고양시 덕양구 화중로152번길 43,경기도 고양시 덕양구 화정동 871,37.64019736,126.8355665,화중초교 어린이보호구역(꽃물공원→은빛공원),1,30,99,2021,경기도북부경찰청,031-961-2651,2025-03-28
J2980,경기도,고양시,시도,,도래울3로,1,경기도 고양시 덕양구 도래울3로 5,경기도 고양시 덕양구 도내동 1012,37.6308786,126.8702029,도래울초교 어린이보호구역(도래울바람물공원→도래울중),2,30,99,2021,경기도북부경찰청,031-961-2651,2025-03-28
J2983,경기도,고양시,시도,,동송로,2,경기도 고양시 덕양구 덕수천2로 118,경기도 고양시 덕양구 동산동 368-3,37.64829283,126.8924298,창릉초교 정문 어린이보호구역(스타필드고양→창릉천),2,30,99,2021,경기도북부경찰청,031-961-2651,2025-03-28
J2987,경기도,고양시,시도,,오금1로,1,경기도 고양시 덕양구 오금1로 10,경기도 고양시 덕양구 오금동 581,37.66175105,126.8960273,오금초교 어린이보호구역(공릉천→오금공원),2,30,99,2021,경기도북부경찰청,031-961-2651,2025-03-28
J2991,경기도,고양시,시도,,서오릉로,1,,경기도 고양시 덕양구 용두동 432-467,37.62771078,126.889721,신도농협 용두지점 건너편(은평구→도래울),2,60,99,2021,경기도북부경찰청,031-961-2651,2025-03-28
J2994,경기도,고양시,시도,,서정마을로,2,,경기도 고양시 덕양구 행신동 1073,37.61901963,126.8491956,아람초교 건너편 어린이보호구역(서정고교→행남초교),2,30,99,2021,경기도북부경찰청,031-961-2651,2025-03-28
J3001,경기도,고양시,시도,,행신로311번길,1,경기도 고양시 덕양구 행신로311번길 78,경기도 고양시 덕양구 행신동 926,37.6229567,126.8417028,가람초교 어린이보호구역(고양우리학교→가람중학교),2,30,99,2021,경기도북부경찰청,031-961-2651,2025-03-28
J6226,경기도,고양시,시도,,봉산로,1,,경기도 고양시 덕양구 용두동 45-10,37.6142128,126.8935584,경동택배(덕은교교차로→용두초교),1,60,99,2023,경기도북부경찰청,031-961-2651,2025-03-28
P-5803,경기도,고양시,시도,,동세로,3,경기도 고양시 덕양구 덕수천2로 118,경기도 고양시 덕양구 동산동 368-3,37.64831721,126.8932376,동산동 368-3 (창릉초등학교 주변),4,0,,2016,경기도 고양시,031-8075-2578,2024-06-10
P-6523,경기도,고양시,시도,,중앙로,3,경기도 고양시 일산동구 중앙로 지하 1042,경기도 고양시 일산동구 백석동 1538,37.64316083,126.7881716,홈플러스 정문 사거리,4,0,,2016,경기도 고양시,031-8075-2578,2024-06-10
F9673,경기도,고양시,시도,,고양대로,3,,경기도 고양시 덕양구 동산동 387-2,37.64287401,126.887417,창릉동사거리(동산육교-&amp;gt;원당역),2,60,99,2017,경기도북부경찰청,031-961-2651,2025-03-28
P-5703,경기도,고양시,시도,,삼송로,3,,경기도 고양시 덕양구 삼송동 109-16,37.6510916,126.8847092,삼송동 109-16 우영프라자 주변,4,0,,2016,경기도 고양시,031-8075-2578,2024-06-10
G0900,경기도,고양시,지방도,363,서오릉로,1,,경기도 고양시 덕양구 도내동 949,37.6357263,126.8725261,대하마트 옆 (원당역-&amp;gt;서울),2,60,99,2018,경기도북부경찰청,031-961-2651,2025-03-28
G0808,경기도,고양시,일반국도,77,자유로,1,경기도 고양시 덕양구 자유로 73,경기도 고양시 덕양구 현천동 689-12,37.58374011,126.8498801,종점 1차로 (장항IC-&amp;gt;가양대교북단),1,90,99,2018,경기도북부경찰청,031-961-2651,2025-03-28
G0811,경기도,고양시,일반국도,77,자유로,1,경기도 고양시 덕양구 자유로 73,경기도 고양시 덕양구 현천동 689-12,37.58374011,126.8498801,종점 4차로 (장항IC-&amp;gt;가양대교북단),1,90,99,2018,경기도북부경찰청,031-961-2651,2025-03-28
P-6526,경기도,고양시,시도,,경의로,3,경기도 고양시 일산동구 강송로 33,경기도 고양시 일산동구 백석동 1237,37.64407121,126.792801,백석동 1237-18 백석체육센터,4,0,,2016,경기도 고양시,031-8075-2578,2024-06-10
SP-5223,경기도,고양시,시도,,신원로,3,경기도 고양시 덕양구 신원3로 21,경기도 고양시 덕양구 신원동 673-1 (신원초등학교),37.6682493858,126.8855474909,신원동 673-1 (신원초등학교),4,0,,2016,경기도 고양시,031-8075-2578,2024-06-10
SP-5806,경기도,고양시,시도,,동세로,3,경기도 고양시 덕양구 동세로 32,경기도 고양시 덕양구 동산동 359,37.64638623,126.886583,용두동 394-2 (동산초등학교),4,0,,2016,경기도 고양시,031-8075-2578,2024-06-10
P-5808,경기도,고양시,시도,,동세로,3,경기도 고양시 덕양구 동송로 33,경기도 고양시 덕양구 동산동 369,37.6490641128,126.8969750224,덕양구 동산동 369번지 시티삼송1차 102동앞 코너,4,0,,2018,경기도 고양시,031-8075-2578,2024-06-10
P-5F23,경기도,고양시,시도,,중앙로,3,경기도 고양시 덕양구 중앙로558번길 13,경기도 고양시 덕양구 행신동 945-1,37.6243429,126.8358167,행신동 945-1 행신동 맑은하루이비인후과 맞은편,4,0,,2018,경기도 고양시,031-8075-2578,2024-06-10
P-6221,경기도,고양시,시도,,하늘마을1로,3,,경기도 고양시 일산동구 중산동 1810,37.67462523,126.7862482,중산동 1819  (성원프라자),4,0,,2018,경기도 고양시,031-8075-2578,2024-06-10
P-6528,경기도,고양시,시도,,장백로,3,경기도 고양시 일산동구 장백로 56,경기도 고양시 일산동구 백석동 1331-1,37.64296933,126.7867956,백석동 1331-1 크리스탈빌딩 정금식당 모퉁이,4,0,,2018,경기도 고양시,031-8075-2578,2024-06-10
P-7416,경기도,고양시,시도,,일현로,3,경기도 고양시 일산서구 일현로41번길 16,경기도 고양시 일산서구 탄현동 1559-6,37.69144994,126.7617185,일산서구 탄현동 1559-6 (신한 헤센스마트 코너),4,0,,2018,경기도 고양시,031-8075-2578,2024-06-10
P-6210,경기도,고양시,시도,,고봉로,3,,경기도 고양시 일산동구 중산동 1662,37.6845076,126.7779843,일산동구 중산동 1662 산들마을2단지앞,4,0,,2014,경기도 고양시,031-8075-2578,2024-06-10
P-7201,경기도,고양시,시도,,고양대로,3,경기도 고양시 일산서구 고양대로 719-12,경기도 고양시 일산서구 일산동 1686,37.68398264,126.7765762,일산동 1686 산들마을 6단지(정문앞),4,0,,2014,경기도 고양시,031-8075-2578,2024-06-10
P-7405,경기도,고양시,시도,,탄중로,3,,경기도 고양시 일산서구 탄현동 1564,37.69226626,126.762328,탄현동 1564 두산위브제니스(끝단)(탄현동97-11일산두산위브더제니스 일원),4,0,,2014,경기도 고양시,031-8075-2578,2024-06-10
G1428,경기도,고양시,시도,,도래울로,1,,경기도 고양시 덕양구 도내동 1009,37.62891701,126.867952,원흥호반 502동 앞 사거리(고양시청-&amp;gt;서정마을),2,50,99,2018,경기도북부경찰청,031-961-2651,2025-03-28
P-5305,경기도,고양시,시도,,원흥로,3,경기도 고양시 덕양구 세솔로 150,경기도 고양시 덕양구 원흥동 675,37.6541995,126.8823957,원흥동 698 (삼송초등학교 주변),4,0,,2016,경기도 고양시,031-8075-2578,2024-06-10
P-5309,경기도,고양시,시도,,원흥로,3,경기도 고양시 덕양구 권율대로 681,경기도 고양시 덕양구 원흥동 137-6,37.6509207,126.8733073,원흥동 151-14 (원흥역4번출구 주변),4,0,,2016,경기도 고양시,031-8075-2578,2024-06-10
P-5328,경기도,고양시,시도,,도래울로,3,,경기도 고양시 덕양구 도내동 963,37.63490373,126.8705862,도내동 963 도래울마을2단지 후문,4,0,,2021,경기도 고양시,031-8075-2578,2024-06-10
P-5712,경기도,고양시,시도,,오금로,3,,경기도 고양시 덕양구 오금동 696,37.6621732376,126.9118663418,덕양구 오금동 696번지 자이더빌리지 518동앞,4,0,,2021,경기도 고양시,031-8075-2578,2024-06-10
P-5717,경기도,고양시,시도,,오금로,3,,경기도 고양시 덕양구 오금동 705,37.6621668,126.9024464,덕양구 오금동 704번지 자이더빌리지 605동앞,4,0,,2021,경기도 고양시,031-8075-2578,2024-06-10
